Month,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
2005-01-01,94.0,89.0,86.0,79.0,89.0,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100
2005-02-01,89.0,86.0,79.0,89.0,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94
2005-03-01,86.0,79.0,89.0,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91
2005-04-01,79.0,89.0,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80
2005-05-01,89.0,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83
2005-06-01,98.0,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96
2005-07-01,96.0,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92
2005-08-01,79.0,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76
2005-09-01,61.0,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56
2005-10-01,60.0,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54
2005-11-01,63.0,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57
2005-12-01,67.0,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60
2006-01-01,100.0,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90
2006-02-01,94.0,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79
2006-03-01,91.0,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80
2006-04-01,80.0,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74
2006-05-01,83.0,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75
2006-06-01,96.0,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87
2006-07-01,92.0,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87
2006-08-01,76.0,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69
2006-09-01,56.0,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69.0,54
2006-10-01,54.0,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69.0,54.0,54
2006-11-01,57.0,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69.0,54.0,54.0,54
2006-12-01,60.0,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69.0,54.0,54.0,54.0,59
2007-01-01,90.0,79.0,80.0,74.0,75.0,87.0,87.0,69.0,54.0,54.0,54.0,59.0,89
